key,ja,en
帰,帰,
左上,左上,
右上,右上,
右下,右下,
左下,左下,
道,道,
基本,基本,Basic
盾+1,盾+1,
何も置いていないただの道。止まれば盾が1つだけ手に入る。,何も置いていないただの道。止まれば盾が1つだけ手に入る。,
斬撃路,斬撃路,
疾走,疾走,Sprint
通過ごとに3ダメージ,通過ごとに3ダメージ,
通り抜けざまに斬る。大きい出目で何枚も踏み抜くほど伸びる、攻めの基本。,通り抜けざまに斬る。大きい出目で何枚も踏み抜くほど伸びる、攻めの基本。,
火走り,火走り,
通過ごとに2ダメージ、毒+1,通過ごとに2ダメージ、毒+1,
走った跡が燃える。1枚あたりは軽いが、通るたびに敵を焼き続ける毒を残す。,走った跡が燃える。1枚あたりは軽いが、通るたびに敵を焼き続ける毒を残す。,
防御路,防御路,
通過ごとに盾+2,通過ごとに盾+2,
通るたびに盾を拾う。盾はターン開始で消えるので、殴られる前に集めること。,通るたびに盾を拾う。盾はターン開始で消えるので、殴られる前に集めること。,
癒し道,癒し道,
通過ごとにHP+1,通過ごとにHP+1,
少しずつしか戻らない。長い出目で何度も通り抜けるのが回復の近道。,少しずつしか戻らない。長い出目で何度も通り抜けるのが回復の近道。,
疾風路,疾風路,
この行動で進んだマス数ぶんダメージ,この行動で進んだマス数ぶんダメージ,
遠くから走り込むほど重い。小さい出目で止まっても意味がなく、大きい出目の着地点にして初めて活きる。,遠くから走り込むほど重い。小さい出目で止まっても意味がなく、大きい出目の着地点にして初めて活きる。,
追い風,追い風,
進んだマス数ぶん盾,進んだマス数ぶん盾,
駆け抜けた勢いをそのまま構えに変える。長距離を走ったターンの着地点に。,駆け抜けた勢いをそのまま構えに変える。長距離を走ったターンの着地点に。,
跳躍路,跳躍路,
移動,移動,Movement
1歩多く進む,1歩多く進む,
出目を1つ伸ばす。止まりたいマスに足りないときの調整に使う。,出目を1つ伸ばす。止まりたいマスに足りないときの調整に使う。,
突進,突進,
4ダメージ＋出目（逆走では出目ぶん弱まる）,4ダメージ＋出目（逆走では出目ぶん弱まる）,
